Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
Urban	Higher	Benin	Local Currency	Energy	0
Urban	Middle	Benin	US$	Energy	8.314854455
Urban	Middle	Benin	$PPP	Energy	14.08788402
Urban	Middle	Benin	Local Currency	Energy	4118.15617
Urban	Lowest	Benin	US$	Energy	141.542525
Urban	Lowest	Benin	$PPP	Energy	239.8159448
Urban	Lowest	Benin	Local Currency	Energy	70102.75716
Urban	Low	Benin	US$	Energy	76.1096592
Urban	Low	Benin	$PPP	Energy	128.9528347
Urban	Low	Benin	Local Currency	Energy	37695.36368
Urban	All	Benin	US$	Energy	225.9670387
Urban	All	Benin	$PPP	Energy	382.8566635
Urban	All	Benin	Local Currency	Energy	111916.277
National	Higher	Bhutan	US$	Energy	0.364770531
National	Higher	Bhutan	$PPP	Energy	0.754933344
National	Higher	Bhutan	Local Currency	Energy	16.67949731
National	Middle	Bhutan	US$	Energy	4.442981569
National	Middle	Bhutan	$PPP	Energy	9.195246457
National	Middle	Bhutan	Local Currency	Energy	203.1597752
National	Lowest	Bhutan	US$	Energy	2.409007085
National	Lowest	Bhutan	$PPP	Energy	4.985709151
National	Lowest	Bhutan	Local Currency	Energy	110.154258
National	Low	Bhutan	US$	Energy	9.907886622
National	Low	Bhutan	$PPP	Energy	20.50547767
National	Low	Bhutan	Local Currency	Energy	453.0480237
National	All	Bhutan	US$	Energy	17.12464581
National	All	Bhutan	$PPP	Energy	35.44136662
National	All	Bhutan	Local Currency	Energy	783.0415541
Rural	Higher	Bhutan	US$	Energy	0.026340334
Rural	Higher	Bhutan	$PPP	Energy	0.054514262
Rural	Higher	Bhutan	Local Currency	Energy	1.204438096
Rural	Middle	Bhutan	US$	Energy	0.587327601
Rural	Middle	Bhutan	$PPP	Energy	1.215540051
Rural	Middle	Bhutan	Local Currency	Energy	26.85614188
Rural	Lowest	Bhutan	US$	Energy	2.017947266
Rural	Lowest	Bhutan	$PPP	Energy	4.176367189
Rural	Lowest	Bhutan	Local Currency	Energy	92.27265667
Rural	Low	Bhutan	US$	Energy	3.494539651
Rural	Low	Bhutan	$PPP	Energy	7.232340006
Rural	Low	Bhutan	Local Currency	Energy	159.7913201
Rural	All	Bhutan	US$	Energy	6.126154851
Rural	All	Bhutan	$PPP	Energy	12.67876151
Rural	All	Bhutan	Local Currency	Energy	280.1245567
Urban	Higher	Bhutan	US$	Energy	0.338430198
Urban	Higher	Bhutan	$PPP	Energy	0.700419083
Urban	Higher	Bhutan	Local Currency	Energy	15.47505922
Urban	Middle	Bhutan	US$	Energy	3.855653969
Urban	Middle	Bhutan	$PPP	Energy	7.979706408
Urban	Middle	Bhutan	Local Currency	Energy	176.3036334
Urban	Lowest	Bhutan	US$	Energy	0.39105982
Urban	Lowest	Bhutan	$PPP	Energy	0.809341964
Urban	Lowest	Bhutan	Local Currency	Energy	17.88160135
Urban	Low	Bhutan	US$	Energy	6.413346971
Urban	Low	Bhutan	$PPP	Energy	13.27313767
Urban	Low	Bhutan	Local Currency	Energy	293.2567036
Urban	All	Bhutan	US$	Energy	10.99849096
Urban	All	Bhutan	$PPP	Energy	22.76260512
Urban	All	Bhutan	Local Currency	Energy	502.9169975
National	Higher	Bolivia	US$	Energy	42.63640989
National	Higher	Bolivia	$PPP	Energy	94.91741377
National	Higher	Bolivia	Local Currency	Energy	299.1796882
National	Middle	Bolivia	US$	Energy	167.8650661
National	Middle	Bolivia	$PPP	Energy	373.7021474
National	Middle	Bolivia	Local Currency	Energy	1177.909169
National	Lowest	Bolivia	US$	Energy	20.82294814
National	Lowest	Bolivia	$PPP	Energy	46.35616342
National	Lowest	Bolivia	Local Currency	Energy	146.1146271
National	Low	Bolivia	US$	Energy	181.0080928
National	Low	Bolivia	$PPP	Energy	402.9612268
National	Low	Bolivia	Local Currency	Energy	1270.133787
National	All	Bolivia	US$	Energy	412.3325169
National	All	Bolivia	$PPP	Energy	917.9369514
National	All	Bolivia	Local Currency	Energy	2893.337271
Rural	Higher	Bolivia	US$	Energy	0
Rural	Higher	Bolivia	$PPP	Energy	0
Rural	Higher	Bolivia	Local Currency	Energy	0
